region,city,address,code
abruzzo,pescara,via milano angolo via trento,PESCARA_TRENTO
basilicata,potenza,via del gallitello 72,POTENZA_GALLITELLO
calabria,cosenza,corso mazzini 86,COSENZA_MAZZINI
calabria,reggio calabria,corso garibaldi 201,REGGIO_GARIBALDI
campania,afragola,via s. maria la nova (cc le porte di napoli),AFRAGOLA_VILLAGE
campania,caserta,corso trieste 154/156,CASERTA_TRIESTE
campania,napoli,via dei greci 70/76,NAPOLI_GRECI
campania,napoli,via santa caterina a chiaia 23,NAPOLI_CHIAIA
campania,napoli,piazza garibaldi (stazione centrale),NAPOLI_EXPRESS
campania,napoli,aeroporto capodichino,NAPOLI_AEROPORTO
campania,pontecagnano faiano,via pacinotti (cc maximall),PONTECAGNANO_VILLAGE
campania,salerno,corso vittorio emanuele 230,SALERNO_EMANUELE
emilia-romagna,bologna,piazza ravegnana 1,BOLOGNA_RAVEGNANA
emilia-romagna,bologna,via de' giudei 3,BOLOGNA_GIUDEI
emilia-romagna,bologna,via dei mille 12,BOLOGNA_MILLE
emilia-romagna,casalecchio di reno,via marylin monroe 2 (cc gran reno),CASALECCHIO_VILLAGE
emilia-romagna,ferrara,via garibaldi 30/a,FERRARA_GARIBALDI
emilia-romagna,forli,corso della repubblica 144,FORLI_REPUBBLICA
emilia-romagna,modena,via cesare battisti 17,MODENA_BATTISTI
emilia-romagna,modena,via emilia ovest 1480 (cc grandemilia),MODENA_VILLAGE
emilia-romagna,parma,via della repubblica 2,PARMA_REPUBBLICA
emilia-romagna,parma,via emilio lepido 1 (cc parma retail),PARMA_VILLAGE
emilia-romagna,piacenza,via cavour 1,PIACENZA_CAVOUR
emilia-romagna,ravenna,via iv novembre 7,RAVENNA_NOVEMBRE
emilia-romagna,reggio emilia,via emilia s. stefano 2,REGGIO_STEFANO
emilia-romagna,rimini,largo giulio cesare 4,RIMINI_CESARE
friuli-venezia giulia,basiliano,via d'antoni 1 (cc arcobaleno),BASILIANO_VILLAGE
friuli-venezia giulia,trieste,via mazzini 39,TRIESTE_MAZZINI
friuli-venezia giulia,udine,via canciani 15,UDINE_CANCIANI
lazio,aprilia,via riserva nuova (cc aprilia 2),APRILIA_VILLAGE
lazio,fiumicino,aeroporto leonardo da vinci,ROMA_FIUMICINO
lazio,latina,via diaz 10,LATINA_DIAZ
lazio,roma,largo di torre argentina 5/a,ROMA_ARGENTINA
lazio,roma,via appia nuova 427,ROMA_APPIA
lazio,roma,galleria alberto sordi,ROMA_COLONNA
lazio,roma,viale libia 186,ROMA_LIBIA
lazio,roma,viale marconi 188,ROMA_MARCONI
lazio,roma,via vittorio emanuele orlando 78,ROMA_ORLANDO
lazio,roma,viale giulio cesare 88,ROMA_GIULIO_CESARE
lazio,roma,via del babuino 102,ROMA_RED
lazio,roma,via tomacelli 23,ROMA_TOMACELLI
liguria,genova,via xx settembre 231,GENOVA_SETTEMBRE
liguria,genova,via ceccardi 16,GENOVA_CECCARDI
liguria,la spezia,via fontana (cc le terrazze),LASPEZIA_VILLAGE
lombardia,assago,viale milanofiori (cc carrefour),ASSAGO_VILLAGE
lombardia,bergamo,via zambonate 18,BERGAMO_ZAMBONATE
lombardia,brescia,corso zanardelli 3,BRESCIA_ZANARDELLI
lombardia,brescia,via d'antoni (cc elnos),BRESCIA_ELNOS
lombardia,cremona,corso mazzini 20,CREMONA_MAZZINI
lombardia,curno,via della crocetta (cc curno),CURNO_VILLAGE
lombardia,erbusco,via rovato (cc le porte franche),ERBUSCO_VILLAGE
lombardia,mantova,via roma 10,MANTOVA_ROMA
lombardia,milano,piazza duomo,MILANO_DUOMO
lombardia,milano,corso buenos aires 33,MILANO_BUENOSAIRES
lombardia,milano,piazza piemonte 2,MILANO_PIEMONTE
lombardia,milano,corso xxii marzo 4,MILANO_XXIIMARZO
lombardia,milano,stazione centrale,MILANO_CENTRALE
lombardia,milano,stazione porta garibaldi,MILANO_GARIBALDI
lombardia,milano,via pasubio 11,MILANO_PASUBIO
lombardia,milano,piazza gae aulenti 1,MILANO_GAEAULENTI
lombardia,milano,via don luigi sturzo 13,MILANO_RED_STURZO
lombardia,milano,via sapri 11 (cc portello),MILANO_PORTELLO
lombardia,milano,aeroporto linate,MILANO_LINATE
lombardia,milano,aeroporto malpensa,MILANO_MALPENSA
lombardia,monza,via carlo alberto 4,MONZA_ALBERTO
