presente_su_spoki,citta,provincia,regione,indirizzo,libreria,appellativo_1,appellativo_2,appellativo_3,tag_libreria,messaggio_trigger,template_benvenuto
sì,Ancona,AN,Marche,"Corso Garibaldi, 35",Ancona,,,,1 - Ancona,Desidero contattare Feltrinelli Libreria Ancona Corso Garibaldi.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Ancona, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Bologna,BO,Emilia Romagna,"Piazza Ravegnana, 1",Bologna Ravegnana,alle torri,via Rizzoli,,3 - Bologna Ravegnana,Desidero contattare Feltrinelli Libreria Bologna Piazza Ravegnana.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Bologna Ravegnana, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Ferrara,FE,Emilia Romagna,"Via Garibaldi, 20/30",Ferrara,,,,6 - Ferrara,Desidero contattare Feltrinelli Libreria Ferrara Via Garibaldi.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Ferrara, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Firenze,FI,Toscana,Via de' Cerretani,Firenze Cerretani,,,,7 - Firenze Cerretani,Desidero contattare Feltrinelli Libreria Firenze Via de' Cerretani.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Firenze Cerretani, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Modena,MO,Emilia Romagna,"Via Cesare Battisti, 17",Modena,,,,14 - Modena,Desidero contattare Feltrinelli Libreria Modena Via Cesare Battisti.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Modena, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Napoli,NA,Campania,"Via dei Greci, 70",Napoli Greci,Napoli Toledo,Tribunali,VIA PONTE DI TAPPIA,15 - Napoli Greci,Desidero contattare Feltrinelli Libreria Napoli Via dei Greci.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Napoli Greci, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Padova,PD,Veneto,"Via San Francesco, 7",Padova S. Francesco,Padova Centro,,,16 - Padova S. Francesco,Desidero contattare Feltrinelli Libreria Padova Via San Francesco.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Padova S. Francesco, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Pisa,PI,Toscana,"Corso Italia, 50",Pisa,,,,20 - Pisa,Desidero contattare Feltrinelli Libreria Pisa Corso Italia.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Pisa, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Ravenna,RA,Emilia Romagna,"Via Diaz, 14",Ravenna,,,,21 - Ravenna,Desidero contattare Feltrinelli Libreria Ravenna Via Diaz.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Ravenna, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Via V. E. Orlando, 78",Roma V. E. Orlando,piazza Repubblica,Termini,,24 - Roma Orlando,Desidero contattare Feltrinelli Libreria Roma Via V. E. Orlando.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma V. E. Orlando, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Siena,SI,Toscana,"Via Banchi di Sopra, 64/66",Siena,,,,26 - Siena,Desidero contattare Feltrinelli Libreria Siena Via Banchi di Sopra.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Siena, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Torino,TO,Piemonte,"Piazza Castello, 19",Torino Castello,,,,27 - Torino Castello,Desidero contattare Feltrinelli Libreria Torino Piazza Castello.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Torino Castello, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Pavia,PV,Lombardia,"Via XX Settembre, 21",Pavia,,,,38 - Pavia,Desidero contattare Feltrinelli Libreria Pavia Via XX Settembre.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Pavia, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Perugia,PG,Umbria,"Corso Vannucci, 78",Perugia,,,,39 - Perugia,Desidero contattare Feltrinelli Libreria Perugia Corso Vannucci.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Perugia, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Como,CO,Lombardia,"Via Cantù, 17",Como,,,,40 - Como,Desidero contattare Feltrinelli Libreria Como Via Cantù.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Como, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
