resort_id,nome,slug,brand_catena,destinazione_area,prezzo_indicativo,prezzo_note,url,kb_file,scraped_at
163,Serena Majestic Hotel,serena-majestic-hotel,Bluserena,Abruzzo,"a partire da € 95,00 / persona invece di € 109,25",indicativo_from,https://www.ilmiovillaggio.it/villaggio/163/serena-majestic-hotel,3469-il-mio-villaggio-kb-resort-163-serena-majestic-hotel.md,2026-08-12
164,Serena Majestic Residence,serena-majestic-residence,Bluserena,Abruzzo,"a partire da € 62,00 / persona invece di € 71,30",indicativo_from,https://www.ilmiovillaggio.it/villaggio/164/serena-majestic-residence,3469-il-mio-villaggio-kb-resort-164-serena-majestic-residence.md,2026-08-12
165,Serenè Resort,seren-resort,Bluserena,Calabria,"a partire da € 112,00 / persona invece di € 128,80",indicativo_from,https://www.ilmiovillaggio.it/villaggio/165/seren-resort,3469-il-mio-villaggio-kb-resort-165-seren-resort.md,2026-08-12
166,Sibari Green Resort,sibari-green-resort,Bluserena,Calabria,"a partire da € 98,00 / persona invece di € 112,70",indicativo_from,https://www.ilmiovillaggio.it/villaggio/166/sibari-green-resort,3469-il-mio-villaggio-kb-resort-166-sibari-green-resort.md,2026-08-12
167,Alborea Ecolodge Resort,alborea-ecolodge-resort,Ethra Reserve,Puglia,"a partire da € 133,50 / persona invece di € 153,52",indicativo_from,https://www.ilmiovillaggio.it/villaggio/167/alborea-ecolodge-resort,3469-il-mio-villaggio-kb-resort-167-alborea-ecolodge-resort.md,2026-08-12
168,GranSerena Hotel,granserena-hotel,Bluserena,Puglia,"a partire da € 135,00 / persona invece di € 155,25",indicativo_from,https://www.ilmiovillaggio.it/villaggio/168/granserena-hotel,3469-il-mio-villaggio-kb-resort-168-granserena-hotel.md,2026-08-12
169,Kalidria Hotel & Thalasso Spa,kalidria-hotel-thalasso-spa,Ethra Reserve,Puglia,"a partire da € 133,00 / persona invece di € 152,95",indicativo_from,https://www.ilmiovillaggio.it/villaggio/169/kalidria-hotel-thalasso-spa,3469-il-mio-villaggio-kb-resort-169-kalidria-hotel-thalasso-spa-01.md;3469-il-mio-villaggio-kb-resort-169-kalidria-hotel-thalasso-spa-02.md,2026-08-12
170,Torreserena Resort,torreserena-resort,Bluserena,Puglia,"a partire da € 113,00 / persona invece di € 129,95",indicativo_from,https://www.ilmiovillaggio.it/villaggio/170/torreserena-resort,3469-il-mio-villaggio-kb-resort-170-torreserena-resort-01.md;3469-il-mio-villaggio-kb-resort-170-torreserena-resort-02.md,2026-08-12
171,Calaserena Resort,calaserena-resort,Bluserena,Sardegna,"a partire da € 105,00 / persona invece di € 120,75",indicativo_from,https://www.ilmiovillaggio.it/villaggio/171/calaserena-resort,3469-il-mio-villaggio-kb-resort-171-calaserena-resort.md,2026-08-12
172,Serenusa Resort,serenusa-resort,Bluserena,Sicilia,"a partire da € 104,00 / persona invece di € 119,60",indicativo_from,https://www.ilmiovillaggio.it/villaggio/172/serenusa-resort,3469-il-mio-villaggio-kb-resort-172-serenusa-resort.md,2026-08-12
1849,Futura Club Itaca Nausicaa - Offerte Last,futura-club-itaca-nausicaa-offerte-last,Futura Club,Calabria,"a partire da € 68,00 / persona invece di € 78,20",indicativo_from,https://www.ilmiovillaggio.it/villaggio/1849/futura-club-itaca-nausicaa-offerte-last,3469-il-mio-villaggio-kb-resort-1849-futura-club-itaca-nausicaa-offerte-last.md,2026-08-12
1851,Futura Club La Praya - Offerte Last,futura-club-la-praya-offerte-last,Futura Club,Calabria,"a partire da € 42,00 / persona invece di € 48,30",indicativo_from,https://www.ilmiovillaggio.it/villaggio/1851/futura-club-la-praya-offerte-last,3469-il-mio-villaggio-kb-resort-1851-futura-club-la-praya-offerte-last.md,2026-08-12
1852,Villaggio Acquamarina - Offerte Last,villaggio-acquamarina-offerte-last,Acquamarina,Campania,"a partire da € 38,00 / persona invece di € 43,70",indicativo_from,https://www.ilmiovillaggio.it/villaggio/1852/villaggio-acquamarina-offerte-last,3469-il-mio-villaggio-kb-resort-1852-villaggio-acquamarina-offerte-last.md,2026-08-12
389,TH Marina di Pisticci - Ti Blu Village,th-marina-di-pisticci-ti-blu-village,TH Resorts,Basilicata,"a partire da € 74,00 / persona invece di € 85,10",indicativo_from,https://www.ilmiovillaggio.it/villaggio/389/th-marina-di-pisticci-ti-blu-village,3469-il-mio-villaggio-kb-resort-389-th-marina-di-pisticci-ti-blu-village.md,2026-08-12
393,TH Simeri Village,th-simeri-village,TH Resorts,Calabria,"a partire da € 73,00 / persona invece di € 83,95",indicativo_from,https://www.ilmiovillaggio.it/villaggio/393/th-simeri-village,3469-il-mio-villaggio-kb-resort-393-th-simeri-village.md,2026-08-12
447,Calanè Resort,calan-resort,Bluserena,Puglia,"a partire da € 102,00 / persona invece di € 117,30",indicativo_from,https://www.ilmiovillaggio.it/villaggio/447/calan-resort,3469-il-mio-villaggio-kb-resort-447-calan-resort-01.md;3469-il-mio-villaggio-kb-resort-447-calan-resort-02.md,2026-08-12
