codice,mnemonico,descrizione,prezzo_eur,service,note,regime
Prel2,2,Prelievo Microbiologico,4.00,,,privato
Prel1,1,Prelievo Venoso,4.00,,,privato
17ohprog,17ohprog,17-OH PROGESTERONE,14.00,,,privato
Hpyliga,Hpyliga,A. A. Helicobacter pylori IgA,10.00,,,privato
Hpyligg,Hpyligg,A. A. Helicobacter pylori IgG,10.00,,,privato
Mycigg,Mycigg,A. A. Mycoplasma pneumoniae IgG,15.00,,,privato
Mycigm,Mycigm,A. A. Mycoplasma pneumoniae IgM,15.00,,,privato
Spikecov2,Spikecov2,A. A. Spike (Sars-CoV-2),25.00,,,privato
Chligg,Chligg,A.A. Chlamydia Pneumoniae IgG,15.00,,,privato
Chligm,Chligm,A.A. Chlamydia Pneumoniae IgM,15.00,,,privato
HepSG,HepSG,A.A. Herpes Simplex 1+2 IgG,10.00,,,privato
HepSM,HepSM,A.A. Herpes Simplex 1+2 IgM,10.00,,,privato
Covidrap,Covidrap,A.A. SARS-CoV-2 IgG/IgM(Rapido),10.00,,,privato
Varig,Varig,A.A. Varicella (Herpes Zoster) IgG,10.00,,,privato
Varim,Varim,A.A. Varicella (Herpes Zoster) IgM,10.00,,,privato
1022,FOL,ACIDO FOLICO,19.00,,,privato
0310.,Ac ial,Acido Ialuronico (Farmaco Ecografie),70.00,,,privato
Valpint,Valpint,Acido Valproico,15.00,,,privato
Acth,Act,Acth,20.00,,,privato
Albur,Albur,ALBUMINA URINARIA NELLE 24 ORE,5.00,,,privato
130,ALBU,ALBUMINEMIA,3.00,,,privato
451,AFP,ALPHA - FETO PROTEINA,16.00,,,privato
36,AMIL,AMILASI,3.10,,,privato
12124,AMYP,AMILASI PANCREATICA,5.00,,,privato
37,AMLU,AMILASURIA,3.10,,,privato
12514,ANA,ANA ( Anticorpi anti nucleo ),15.00,,,privato
12516,ENAS,ANTI ENA ( Screening ),25.00,,,privato
10377,MICR,ANTI MICROSOMI,29.00,,,privato
12085,GLIAA,ANTI PEPTIDI DEAMIDATI DELLA GLIADINA IgA,22.00,,,privato
12513,GLIAG,ANTI PEPTIDI DEAMIDATI DELLA GLIADINA IgG,22.00,,,privato
262,ABGMIC,ANTIBIOGRAMMA M.I.C.,12.40,,,privato
1002,ATG,ANTIC. ANTI-TIREOGLOBULINA,19.00,,,privato
Ccp,Ccp,ANTI-CCP (A. A. Citrullina ),20.00,,,privato
1003,ATPO,ANTICORPI ANTITIREOPEROSSIDASI,29.00,,,privato
159,AT,ANTITROMBINA III,7.00,,,privato
1,AZOT,AZOTEMIA,2.50,,,privato
10286,AZOU,AZOTO URINARIO,2.50,,,privato
4010,B2M,BETA-2-MICROGLOBULINEMIA,11.00,,,privato
453,BHCG,BETA-HCG PLASMATICO,20.00,,,privato
Dir,Dir,BILIRUBINA DIRETTA,4.50,,,privato
7,BIT,BILIRUBINA TOTALE,2.50,,,privato
9,BIF,BILIRUBINA TOTALE E FRAZIONATA,4.50,,,privato
76,C4,C4,7.00,,,privato
463,CA125,CA 125,22.00,,,privato
