CODICE_ORIG,DESCRIZIONE,NOMENCLATORE,TARIFFA,NOTE
90.04.5,ALANINA AMINOTRANSFERASI (ALT) (GPT),90045,1.00,
90.05.1,ALBUMINA,90051,1.42,
90.05.3,ALDOSTERONE,90053,17.11,Non associabile a Ormoni dosaggi seriali (90.35.2)
90.05.4,ALFA 1 ANTITRIPSINA,90054,5.30,
90.05.5,ALFA 1 FETOPROTEINA,90055,7.40,
90.06.1,ALFA 1 GLICOPROTEINA ACIDA,90061,5.31,
90.06.3,ALFA 2 MACROGLOBULINA,90063,5.30,
90.06.4,ALFA AMILASI TOTALE,90064,1.84,
90.06.5,ALFA AMILASI ISOENZIMI (Frazione pancreatica),90065,3.65,
90.07.5,AMMONIO,90075,6.36,
90.08.4,APOLIPOPROTEINA -A1,90085,5.30,
90.08.5,APOLIPOPROTEINA B,90085,5.30,
90.09.2,ASPARTATO AMINOTRANSFERASI (AST) (GOT),90092,1.04,
90.10.1,BETA2 MICROGLOBULINA,90101,5.30,
90.10.2,BICARBONATI (Idrogenocarbonato),90102,0.50,
90.10.5,BILIRUBINA REFLEX,90103,0.94, cut-off >1 mg/dL salvo definizione di cut-off più restrittivi a livello regionale. Incluso: Bilirubina Diretta ed Indiretta. Non associabile a 90.10.07
90.11.1,C PEPTIDE,90111,12.15,
90.11.4,CALCIO TOTALE,90114,1.13,
90.11.5,CALCITONINA,90115,14.41,
90.11.6,CALCIO IONIZZATO (calcolo indiretto),90384,4.23,Erogabile solo in associazione ai codici CALCIO TOTALE (90.11.4) e PROTEINE TOTALI (90.38.5)
90.12.5,CERULOPLASMINA,90125,5.30,
90.12.A,CALPROTECTINA FECALE,,,
90.13.3,CLORURO,90133,1.13,
90.13.5,COBALAMMINA (VIT. B12),90135,7.32,
90.13.A,CISTATINA C,90164,1.60,Non associabile a Creatinina 90.16.3 e Creatinina clearance 90.16.4
90.13.B,COLESTEROLO LDL Determinazione indiretta,90141,1.43,"Erogabile solo in associazione a Colesterolo HDL (90.14.1), Colesterolo totale (90.14.3) e Trigliceridi (90.43.2)"
90.13.C,COLESTEROLO LDL Determinazione diretta,90142,0.67,
90.14.1,COLESTEROLO HDL,90141,1.43,
90.14.3,COLESTEROLO TOTALE,90143,1.04,
90.15.2,CORTICOTROPINA (ACTH),90152,18.50,Non associabile a Ormoni dosaggi seriali (90.35.2)
90.15.3,CORTISOLO,90153,7.79,Non associabile a Ormoni dosaggi seriali (90.35.2)
90.15.4,CREATINA CHINASI (CPK o CK),,,
90.16.3,CREATININA.,,,Non associabile a 90.16.4
90.16.4,CREATININA CLEARANCE,90164,1.60,Non associabile a CREATININA (90.16.3)
90.16.6,CROMOGRANINA A,,,
90.16.8,DECARBOSSIPROTROMBINA,,,
90.17.2,DEIDROEPIANDROSTERONE SOLFATO (DEA-S),90171,9.27,
90.17.3,DELTA 4 ANDROSTENEDIONE,90173,12.97,
90.17.C,FARMACI CON TECNICHE NON CROMATOGRAFICHE,90396,40.00,
90.17.D,ELASTASI 1 PANCREATICA,91136,20.00,
90.17.G,ORMONE ANTI-MULLERIANO (AMH) - DOSAGGIO,,,
90.18.4,ENOLASI NEURONESPECIFICA (NSE),90184,16.60,
90.19.2,ESTRADIOLO (E2),90192,9.11,
90.21.4,FECI SANGUE OCCULTO,90214,3.52,
90.22.3,FERRITINA,90223,6.36,
90.22.5,FERRO,90224,4.79,
90.23.2,FOLATO,90232,6.36,
90.23.3,FOLLITROPINA (FSH),90233,6.21,Non associabile a Ormoni dosaggi seriali (90.35.2)
90.23.5,FOSFATASI ALCALINA,90235,1.04,
90.24.1,FOSFATASI ALCALINA ISOENZIMA OSSEO,90235,1.04,
90.24.3,FOSFATO INORGANICO (FOSFORO),90243,1.46,
90.25.5,GAMMA-GLUTAMILTRANSFERASI (gamma GT),90255,1.13,
90.26.1,GASTRINA,90261,14.08,
90.27.1,GLUCOSIO,90264,2.38,"Non associabile a Osmolalità (90.34.8), Glucosio dosaggio seriale dopo carico (90.26.5)"
90.27.2,GLUCOSIO 6 FOSFATO DEIDROGENASI (G6PDH),90264,2.38,
90.27.5,"GONADOTROPINA CORIONICA (Subunità beta, molecola intera)",90273,6.02,
90.28.1,Hb - EMOGLOBINA GLICATA,90281,7.41,
90.28.4,IMMUNOGLOBULINE: CATENE KAPPA E LAMBDA,90284,10.60,
90.29.1,INSULINA,90285,27.82,
90.29.2,LATTATO DEIDROGENASI (LDH),90292,1.13,
90.30.2,LIPASI PANCREATICA,90302,2.58,
90.32.2,LITIO,90322,3.47,
90.32.5,MAGNESIO TOTALE,90325,1.55,
90.33.4,ALBUMINURIA [MICROALBUMINURIA],90334,4.11,
90.33.5,MIOGLOBINA,90335,6.92,
90.34.6,OMOCISTEINA,,,
90.35.1,ORMONE SOMATOTROPO (GH),90351,10.48,Non associabile a Ormoni dosaggi seriali (90.35.2)
90.35.4,OSTEOCALCINA (BGP),90354,27.21,
90.35.5,PARATORMONE (PTH). Molecola intatta,90355,18.92,
90.35.6,SOMATOSTATINA,,,
