categoria,servizio,variante_o_fascia,prezzo_eur,unita,note,descrizione
pneumatici,Presa e riconsegna,,,,senza prezzo su listino,Presa e riconsegna della vettura presso domicilio o luogo di lavoro a Osio Sopra e paesi limitrofi.
pneumatici,Montaggio e riparazione,,,,catalogo servizi; prezzi dettagliati nelle righe listino sotto,Riparazione forature e cambio gomme stagionale con equilibratura elettronica.
pneumatici,Equilibratura,,,,catalogo servizi; prezzi per pollici nelle righe listino sotto,Bilanciatura elettronica per rotolamento e consumo omogeneo.
pneumatici,Convergenza,,,,catalogo servizi; prezzi per pollici nelle righe listino sotto,Regolazione convergenza anteriore; controllo campanatura e angolo d'incidenza computerizzati.
pneumatici,Deposito stagionale,,,,catalogo servizi; prezzi per pollici nelle righe listino sotto,Deposito e stoccaggio pneumatici stagionali in magazzino interno.
pneumatici,Riparazione cerchi in lega,,,,catalogo servizi; prezzi cerchi nelle righe listino sotto,Rettifica e verniciatura di cerchi in lega graffiati o danneggiati.
pneumatici,Sensori TPMS,,,,senza prezzo su listino,Reset sensori pressione gomme (TPMS) con tester professionale.
pneumatici,Gonfiaggio ad azoto,,,,catalogo servizi; prezzi per pollici nelle righe listino sotto,Gonfiaggio ad azoto; indicato nei mesi caldi e per pneumatici performanti.
cura_auto,Lavaggio a mano esterni e interni,,55.00,fisso,listino: Pulizia completa vettura,Lavaggio a mano esterni e interni; circa 2 ore.
cura_auto,Pulizia interni vettura,,35.00,fisso,,Pulizia interni vettura.
cura_auto,Pulizia profonda moquette e sedili,,40.00,ora,listino: Lavaggio sedili e pulizia completa,Pulizia profonda e sterilizzazione moquette e sedili; circa 2-3 ore; trattamento in base alle macchie.
cura_auto,Sanificazione auto ad ozono,,25.00,fisso,,Trattamento di sanificazione.
cura_auto,Trattamento parabrezza ScudoPlus,fino a 20000 km,25.00-40.00,fisso,range sul sito; +60% visibilita pioggia dichiarato,Aumenta la visibilita in caso di pioggia fino a 20000 km.
cura_auto,Trattamento igienizzazione Bacticyd Spray,,25.00,fisso,scontato 15.00 col cambio gomme,
meccanica_leggera,Dischi e pastiglie,,,,senza prezzo su listino,Sostituzione pastiglie e dischi anteriori e posteriori.
meccanica_leggera,Cambio filtri,,,,senza prezzo su listino,Sostituzione filtro aria e filtro abitacolo.
meccanica_leggera,Cambio olio,,,,senza prezzo su listino,Sostituzione olio motore e filtro.
