Monopoli urbano,Monopoli extra urbano,Altro comune urbano,Altro comune extra urbano
Via,Contrada,Via,Contrada
Piazza,Strada comunale,Piazza,Strada comunale
Viale,Campagna,Viale,Campagna
Vico,Strada Provinciale,Vico,Strada Provinciale
Piazzetta,Strada Statale,Piazzetta,Strada Statale
Largo,Strada rurale,Largo,Strada rurale
Corso,Zona industriale,Corso,Zona industriale
Lungomare,Zona artigianale,Lungomare,Zona artigianale
Traversa,Complanare,Traversa,Complanare
Rione,,Rione,
Borgo,,Borgo,
Vicolo,,Vicolo,
Rotonda,,Rotonda,
15,20,20,25
