id,type,title,section_path,section_id,subsection_id,url,price,list_price,free,sofia_iniziativa_id,sofia_edizione_id,carta_docente,faq_count,block_count,text
meta:anagrafica,meta,Anagrafica e contatti CFIScuola,Anagrafica e contatti,,,,,,,,,,,,"{""marchio"": ""CFIScuola"", ""ragione_sociale"": ""Centro Formazione Innovazione S.R.L."", ""sede"": ""Via Maverna, 4 — 44122 Ferrara (FE)"", ""piva_cf_ri"": ""01149540385"", ""rea"": ""FE n. 135502"", ""telefono"": ""0532 783561"", ""email"": ""info@cfiscuola.it"", ""sito_ufficiale"": ""https://www.cfiscuola.it"", ""metodi_pagamento"": [""Carta del Docente"", ""Carta di credito"", ""Bonifico bancario""], ""nota_carta_docente"": ""Nota ricorrente sui prodotti pagabili con Carta del Docente: se l'importo del buono non copre l'intero ordine, è possibile integrare la differenza con carta di credito o bonifico.""}"
meta:riepilogo,meta,Riepilogo catalogo CFIScuola,Riepilogo,,,,,,,,,,,,"{""corsi_totali"": 326, ""note"": {""Carta del Docente"": ""accettata su tutti i corsi a pagamento, con possibilità di integrazione via carta di credito o bonifico se il buono non copre l'importo. I webinar gratuiti non richiedono Carta del Docente."", ""SOFIA"": ""dove disponibile, sono indicati ID Iniziativa Formativa e ID Edizione (per il riconoscimento della formazione del personale scolastico tramite la piattaforma SOFIA).""}}"
course:digcomp-2-2-accredia-corso,course,DigComp 2.2 - ACCREDIA + Corso,1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcomp-2-2-accredia-corso.html,189.9,,False,,,True,,,"DigComp 2.2 - ACCREDIA + Corso

URL: https://www.cfiscuola.it/digcomp-2-2-accredia-corso.html

Prezzo: 189.9 EUR

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esame entro 24h dall'iscrizione
- Corso online incluso
- Forum consulenza formatore
- Certificazione entro 24h dall'esame
- Certificato DigComp 2.2
- 1 Punto graduatoria docenti/educatori

A Chi E Rivolto:
al personale ATA, esclusi i collaboratori scolastici, che da Contratto Collettivo Nazionale, hanno l’obbligo di conseguire la Certificazione Internazionale Alfabetizzazione Digitale e desiderano conseguire punteggio nelle Graduatorie ATA.

Descrizione:
la certificazione DIGCOMP 2.2 per Utente Qualificato di Computer è ufficialmente accreditata da Accredia, attestando le competenze digitali fondamentali secondo il framework DIGCOMP 2.2

Cosa Comprende:
Certificato DigComp2.2 accreditato ACCREDIA , erogato da IDCERT + Corso on-line .

Esame Finale:
l’esame si svolge interamente online e comprende 168 domande , suddivise in quattro step progressivi , ognuno composto da 42 domande. Le competenze vengono valutate nelle cinque aree chiave del framework europeo DIGCOMP 2.2 . L’esame adotta un approccio progressivo , misurando il livello di competenza dal Base fino al Livello Altamente Specializzato , valutando ciascuna delle 21 competenze del framework . Non è prevista bocciatura definitiva: il risultato finale rappresenta una fotografia del livello di competenza raggiunto dall’utente, calcolato come media dei punteggi ottenuti nelle diverse aree.
REQUISITI PER ESAME : gli esami sono supervisionati tramite webcam e microfono da un proctor live. Occorre avere una connessione internet stabile (no hotspot), un pc, lo SPID e seguire tutte le istruzioni fornite per garantire un'esperienza d'esame fluida e senza problemi.
RISULTATI E ATTESTATO : il risultato è immediato . Il certificato viene rilasciato entro 24h .
CERTIFICAZIONE : DigComp 2.2 per Utente Qualificato di Computer, valida come Certificazione internazionale di Alfabetizzazione Digitale rilasciata in conformità agli standard Accredia. La certificazione ha validità di 4 anni."
course:digcomp-2-2-accredia-docenti,course,DigComp 2.2 - ACCREDIA,1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcomp-2-2-accredia-docenti.html,145.0,,False,,,True,,,"DigComp 2.2 - ACCREDIA

URL: https://www.cfiscuola.it/digcomp-2-2-accredia-docenti.html

Prezzo: 145.0 EUR

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esame entro 24h dall'iscrizione
- Forum consulenza formatore
- Certificazione entro 24/48h dall'esame
- Certificato DigComp 2.2
- 1 Punto graduatoria docenti/educatori

A Chi E Rivolto:
al personale ATA, esclusi i collaboratori scolastici, che da Contratto Collettivo Nazionale, hanno l’obbligo di conseguire la Certificazione Internazionale Alfabetizzazione Digitale e desiderano conseguire punteggio nelle Graduatorie ATA.

Descrizione:
la certificazione DIGCOMP 2.2 è ufficialmente accreditata da Accredia, attestando le competenze digitali fondamentali secondo il framework DIGCOMP 2.2

Cosa Comprende:
Certificato DigComp2.2 accreditato ACCREDIA , erogato da vari enti certificatori, a scelta del candidato.

Esame Finale:
l’esame è online ed è organizzato sulla base delle aree di competenza e delle competenze DigComp 2.2, assicurando così una completa conformità, anche nei dettagli, al suddetto framework. L'esame si compone di domande a scelta multipla proposte in modo incrementale.
Per sostenere gli esami è necessario prenotare uno slot a disposizione dal lunedì alla domenica sulla piattaforma didattica di CFIScuola.
REQUISITI PER ESAME : gli esami sono supervisionati tramite webcam e microfono da un supervisore. Occorre avere una connessione internet stabile, un pc, lo SPID e seguire tutte le istruzioni fornite per garantire un'esperienza d'esame fluida e senza problemi.
RISULTATI E ATTESTATO : il risultato è immediato . Il certificato viene rilasciato entro 24/48h .
CERTIFICAZIONE : DigComp 2.2 , valida come Certificazione internazionale di Alfabetizzazione Digitale rilasciata in conformità agli standard Accredia. La certificazione ha validità di 4 anni."
course:digcomp-accredia-digcomp-2-2-digcompedu-corsi,course,DigComp - ACCREDIA (DigComp 2.2 + DigCompEdu) + Corsi,1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcomp-accredia-digcomp-2-2-digcompedu-corsi.html,290.0,380.0,False,,,True,,,"DigComp - ACCREDIA (DigComp 2.2 + DigCompEdu) + Corsi

URL: https://www.cfiscuola.it/digcomp-accredia-digcomp-2-2-digcompedu-corsi.html

Prezzo: 290.0 EUR (listino 380.0 EUR)

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esami entro 24h dall'iscrizione
- Corsi online inclusi
- Forum consulenza formatore
- Certificazioni entro 24/48h dall'esame
- 3 Punti graduatoria docenti/educatori"
course:digcomp-accredia,course,DigComp - ACCREDIA (DigComp 2.2 + DigCompEdu),1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcomp-accredia.html,240.0,290.0,False,,,True,,,"DigComp - ACCREDIA (DigComp 2.2 + DigCompEdu)

URL: https://www.cfiscuola.it/digcomp-accredia.html

Prezzo: 240.0 EUR (listino 290.0 EUR)

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esami entro 24h dall'iscrizione
- Forum consulenza formatore
- Certificazioni entro 24/48h dall'esame
- 3 Punti graduatoria docenti/educatori"
course:digcompedu-accredia-corso,course,DigCompEdu - ACCREDIA + Corso,1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcompedu-accredia-corso.html,189.9,,False,,,True,,,"DigCompEdu - ACCREDIA + Corso

URL: https://www.cfiscuola.it/digcompedu-accredia-corso.html

Prezzo: 189.9 EUR

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esame entro 24h dall'iscrizione
- Corso online incluso
- Forum consulenza formatore
- Certificazione entro 24h dall'esame
- Certificato DigCompEdu
- 2 Punti graduatoria docenti/educatori

A Chi E Rivolto:
agli insegnanti di ogni ordine e grado, che vogliano conseguire competenze digitali per la didattica, a supporto della propria crescita professionale e quindi allo sviluppo delle competenze digitali degli studenti. Formatori ed educatori, che vogliano sfruttare le risorse offerte dai nuovi strumenti digitali in ambito educativo e formativo, per realizzare una formazione al passo coi tempi ed essere educatori consapevoli dell’attuale realtà digitale.

Descrizione:
DigCompEdu è accreditata ad Accredia come certificazione delle competenze digitali di docenti ed educatori, in linea con il Digital Competence Framework for Educators – DigCompEdu . La certificazione è stata realizzata sia per I ciclo di istruzione che per il II ciclo, in modo da rispondere alle esigenze formative dei diversi gradi scolastici e garantire un percorso di crescita professionale coerente e progressivo.

Cosa Comprende:
Certificato DigCompEdu accreditato ACCREDIA , erogato da IDCERT + Corso on-line .

Esame Finale:
l’esame si svolge online , con 132 domande distribuite su 120 minuti, articolate in tre step progressivi . Le competenze vengono valutate in sei aree chiave per tutte le 22 aree di competenza previste, tra cui la creazione e gestione di risorse digitali, la progettazione di attività didattiche e lo sviluppo delle competenze digitali degli studenti.
I livelli di certificazione vanno da Novizio (A1) a Pioniere (C2). Se nel primo step dell’esame non raggiungi almeno il 25% di risposte corrette , il primo tentativo sarà gratuito. In caso di espulsione per violazioni durante l’esame , sarà necessario acquistare un nuovo tentativo d'esame .
REQUISITI PER ESAME : gli esami sono supervisionati tramite webcam e microfono da un proctor live. Occorre avere una connessione Internet stabile (no hotspot), un pc, lo SPID e seguire tutte le istruzioni fornite per garantire un'esperienza d'esame fluida e senza problemi.
RISULTATI E ATTESTATO : il risultato è immediato . Il certificato digitale viene rilasciato entro 24h .
CERTIFICAZIONE : Certificato DigCompEdu per Utente Qualificato di Computer rilasciato in conformità agli standard ACCREDIA . Il certificato ha validità di 4 anni."
course:digcompedu-accredia,course,DigCompEdu - ACCREDIA,1. Catalogo Corsi — Informatica > 1.1 Certificazioni DigComp ACCREDIA (6 corsi),,1.1,https://www.cfiscuola.it/digcompedu-accredia.html,145.0,,False,,,True,,,"DigCompEdu - ACCREDIA

URL: https://www.cfiscuola.it/digcompedu-accredia.html

Prezzo: 145.0 EUR

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Esame entro 24h dall'iscrizione
- Forum consulenza formatore
- Certificazione entro 24/48h dall'esame
- Certificato DigCompEdu
- 2 Punti graduatoria docenti/educatori

A Chi E Rivolto:
agli insegnanti di ogni ordine e grado, che vogliano conseguire competenze digitali per la didattica, a supporto della propria crescita professionale e quindi allo sviluppo delle competenze digitali degli studenti. Formatori ed educatori, che vogliano sfruttare le risorse offerte dai nuovi strumenti digitali in ambito educativo e formativo, per realizzare una formazione al passo coi tempi ed essere educatori consapevoli dell’attuale realtà digitale.

Descrizione:
DigCompEdu è accreditata ad Accredia come certificazione delle competenze digitali di docenti ed educatori, in linea con il Digital Competence Framework for Educators – DigCompEdu . La certificazione è stata realizzata sia per I ciclo di istruzione che per il II ciclo, in modo da rispondere alle esigenze formative dei diversi gradi scolastici e garantire un percorso di crescita professionale coerente e progressivo.

Cosa Comprende:
Certificato DigCompEdu accreditato ACCREDIA , erogato da vari enti certificatori, a scelta del candidato.

Esame Finale:
l’esame è online ed è organizzato sulla base delle aree di competenza e delle competenze DigCompEdu, assicurando così una completa conformità, anche nei dettagli, al suddetto framework. L'esame si compone di domande a scelta multipla proposte in modo incrementale fino al livello B2.
Per sostenere gli esami è necessario prenotare uno slot a disposizione dal lunedì alla domenica sulla piattaforma didattica di CFIScuola.
REQUISITI PER ESAME : gli esami sono supervisionati tramite webcam e microfono da un supervisore. Occorre avere una connessione internet stabile, un pc, lo SPID e seguire tutte le istruzioni fornite per garantire un'esperienza d'esame fluida e senza problemi.
RISULTATI E ATTESTATO : il risultato è immediato . Il certificato digitale viene rilasciato entro 24/48h .
CERTIFICAZIONE : Certificato DigCompEdu in conformità agli standard ACCREDIA . Il certificato ha validità di 4 anni."
course:l-intelligenza-artificiale-in-classe-i-ciclo,course,L’intelligenza artificiale in classe - I ciclo,1. Catalogo Corsi — Informatica > 1.2 Intelligenza Artificiale (3 corsi),,1.2,https://www.cfiscuola.it/l-intelligenza-artificiale-in-classe-i-ciclo.html,60.0,80.0,False,103256,155596,True,,,"L’intelligenza artificiale in classe - I ciclo

URL: https://www.cfiscuola.it/l-intelligenza-artificiale-in-classe-i-ciclo.html

Prezzo: 60.0 EUR (listino 80.0 EUR)

SOFIA: Iniziativa 103256 / Edizione 155596

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Attivazione immediata
- Forum consulenza formatore
- Esame online

Durata:
10 ore

A Chi E Rivolto:
docenti scuola primaria e secondaria di primo grado.

Descrizione:
L’intelligenza artificiale è sempre più presente nella quotidianità digitale e rappresenta una risorsa significativa anche per la didattica. Questo corso è rivolto ai docenti della scuola primaria e secondaria di primo grado e propone un’introduzione pratica e accessibile all’uso consapevole dell’IA in ambito educativo, in linea con il DigComp 2.2. Il percorso affronta le basi dell’intelligenza artificiale e l’utilizzo degli strumenti generativi (come ChatGPT e Gemini), offrendo indicazioni operative per la creazione di materiali didattici personalizzati e di tutor virtuali basati su fonti sicure. Il corso valorizza inoltre le potenzialità creative dell’IA, ponendo attenzione agli aspetti etici, alla sicurezza digitale e allo sviluppo del pensiero critico.

Programma:
Introduzione all’intelligenza artificiale
Algoritmi, machine learning e deep learning
La nascita e il funzionamento dell’IA
Riconoscere l’IA, limiti e bias cognitivi

Attivit Didattiche:
Video-lezioni - Forum in itinere - Test finale.
OBIETTIVO GENERALE : il corso si propone di fornire ai docenti strumenti concettuali e operativi per comprendere e spiegare l’intelligenza artificiale in modo semplice e accessibile, integrandola in maniera consapevole, critica e responsabile nella didattica quotidiana.
OBIETTIVI SPECIFICI :
Spiegare i principi di base dell’intelligenza artificiale utilizzando un linguaggio adeguato agli studenti della scuola primaria e secondaria di primo grado;
Comprendere il funzionamento degli algoritmi e dei principali strumenti di IA, riconoscendone limiti, bias e rischi;
Progettare attività didattiche interdisciplinari che sviluppino il pensiero computazionale anche attraverso approcci “unplugged”;
Utilizzare strumenti di intelligenza artificiale generativa per supportare la progettazione didattica e la creazione di materiali educativi;
Promuovere un uso etico, sicuro e consapevole delle tecnologie digitali, favorendo il pensiero critico e l’educazione all’identità digitale."
course:l-intelligenza-artificiale-per-il-personale-scolastico-e-amministrativo,course,L'intelligenza artificiale per il personale scolastico e amministrativo,1. Catalogo Corsi — Informatica > 1.2 Intelligenza Artificiale (3 corsi),,1.2,https://www.cfiscuola.it/l-intelligenza-artificiale-per-il-personale-scolastico-e-amministrativo.html,75.0,90.0,False,92948,150698,True,,,"L'intelligenza artificiale per il personale scolastico e amministrativo

URL: https://www.cfiscuola.it/l-intelligenza-artificiale-per-il-personale-scolastico-e-amministrativo.html

Prezzo: 75.0 EUR (listino 90.0 EUR)

SOFIA: Iniziativa 92948 / Edizione 150698

Carta del Docente: sì (integrabile con carta di credito o bonifico se l'importo non basta)

Caratteristiche:
- Attivazione immediata
- Forum consulenza formatore
- Esame online

Durata:
5 ore

A Chi E Rivolto:
Personale scolastico e amministrativo.

Descrizione:
l'intelligenza artificiale è una branca dell'informatica che si concentra sulla creazione di software in grado di imitare comportamenti e processi che considereremmo intelligenti. L’Intelligenza artificiale ed i suoi strumenti generativi (come ChatGPT) possono essere usati per il quotidiano lavoro di insegnamento-apprendimento. L’IA offre sfide ed opportunità da non lasciarsi scappare nella didattica, così come indicato nel DigComp2.2.

Obiettivi:
• Scoprire l’IA come strumento per migliorare la qualità dell’insegnamento e dell’apprendimento
• Acquisire competenze nella progettazione di attività educative che utilizzano l’IA
• Comprensione dei concetti di base dell’Intelligenza Artificiale e dei suoi usi in campo scolastico

Programma:
• L'IA potenzialità e limiti;
• Uso degli strumenti dell'IA generativa nell'apprendimento;
• ChatGPT e possibili attività;
• Software IA e attività
• Strumenti dell’IA per l’amministrazione scolastica
DIGICOMP 2.2 :
• AREA DigCompEdu: 2
• LIVELLO IN INGRESSO DigCompEdu: A1
• LIVELLO IN USCITA DigCompEdu: A2
TIPOLOGIA DI EROGAZIONE : E-learning.
FRUIZIONE : corso disponibile per 180 giorni. Accessibilità in ogni momento, ovunque, da qualsiasi postazione e dispositivo via web.
SUPERAMENTO : sono previsti test intermedi e al termine del corso è previsto un test finale online che verifica l'apprendimento con domande a risposta singola e multipla riguardo l'intero contenuto del corso suddiviso per i moduli fruiti.
COMPETENZE IN USCITA : competenze nella realizzazione della didattica a distanza e nell'utilizzo dei sistemi principali per svolgerla.
COORDINATORI DEL CORSO : Debora Niutta.
FORMATORI : consulta qui i formatori di CFI per area e consulta il loro CV.
Al termine del corso viene rilasciato l’Attestato di frequenza con profitto da CFIScuola, in qualità di soggetto qualificato MIM per la formazione del personale scolastico con D.M. del 15/07/2014 .
TRAILER DEL CORSO :

Attivit Didattiche:
Video-lezioni - Test di apprendimento in itinere - Forum in itinere - Test finale."
